"MCMRT Number","Compound Name","IUPAC Name",Formula,"CAS Number","Pubchem Number",Isomeric SMILES,InChI,Retention Factor (k),RT (min),RSD
86,Sulfisoxazole ,"4-amino-N-(3,4-dimethyl-1,2-oxazol-5-yl)benzenesulfonamide",C11H13N3O3S,127-69-5,5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C11H13N3O3S/c1-7-8(2)13-17-11(7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6,14H,12H2,1-2H3",2.87,4.92 ,0.14%
88,Mephosfolan ,"N-diethoxyphosphoryl-4-methyl-1,3-dithiolan-2-imine",C8H16NO3PS2,950-10-7,13707,CCOP(=O)(N=C1SCC(S1)C)OCC,"InChI=1S/C8H16NO3PS2/c1-4-11-13(10,12-5-2)9-8-14-6-7(3)15-8/h7H,4-6H2,1-3H3",3.84,6.15 ,0.23%
89,Acetochlor ,2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide,C14H20ClNO2,34256-82-1,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",5.00,7.62 ,0.19%
90,Sulfamethizol ,"4-amino-N-(5-methyl-1,3,4-thiadiazol-2-yl)benzenesulfonamide",C9H10N4O2S2,144-82-1,5328,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)",2.55,4.51 ,0.16%
92,Paraoxon ,diethyl (4-nitrophenyl) phosphate,C10H14NO6P,311-45-5,9395,CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],"InChI=1S/C10H14NO6P/c1-3-15-18(14,16-4-2)17-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",4.25,6.67 ,0.11%
93,Nifuroxazide ,4-hydroxy-N-[(Z)-(5-nitrofuran-2-yl)methylideneamino]benzamide,C12H9N3O5,965-52-6,5390108,C1=CC(=CC=C1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-])O,"InChI=1S/C12H9N3O5/c16-9-3-1-8(2-4-9)12(17)14-13-7-10-5-6-11(20-10)15(18)19/h1-7,16H,(H,14,17)/b13-7-",3.57,5.81 ,0.37%
94,Sudan II,"1-[(2,4-dimethylphenyl)diazenyl]naphthalen-2-ol",C18H16N2O,3118-97-6,18386,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C,"InChI=1S/C18H16N2O/c1-12-7-9-16(13(2)11-12)19-20-18-15-6-4-3-5-14(15)8-10-17(18)21/h3-11,21H,1-2H3",5.42,8.15 ,1.16%
95,Phorate sulfoxide ,diethoxy-(ethylsulfinylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,C7H17O3PS3,2588-03-6,17424,CCOP(=S)(OCC)SCS(=O)CC,"InChI=1S/C7H17O3PS3/c1-4-9-11(12,10-5-2)13-7-14(8)6-3/h4-7H2,1-3H3",4.25,6.67 ,0.11%
96,Clenbuterol,"1-(4-amino-3,5-dichlorophenyl)-2-(tert-butylamino)ethanol",C12H18Cl2N2O,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,"InChI=1S/C12H18Cl2N2O/c1-12(2,3)16-6-10(17)7-4-8(13)11(15)9(14)5-7/h4-5,10,16-17H,6,15H2,1-3H3",2.92,4.98 ,0.14%
97,Fenthion,dimethoxy-(3-methyl-4-methylsulfanylphenoxy)-sulfanylidene-lambda5-phosphane,C10H15O3PS2,55-38-9,3346,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",5.11,7.76 ,0.09%
98,Sulfisomidin ,"4-amino-N-(2,6-dimethylpyrimidin-4-yl)benzenesulfonamide",C12H14N4O2S,515-64-0,5343,CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C12H14N4O2S/c1-8-7-12(15-9(2)14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",2.17,4.03 ,0.53%
99,Metalaxyl ,"methyl 2-(N-(2-methoxyacetyl)-2,6-dimethylanilino)propanoate",C15H21NO4,57837-19-1,42586,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,"InChI=1S/C15H21NO4/c1-10-7-6-8-11(2)14(10)16(13(17)9-19-4)12(3)15(18)20-5/h6-8,12H,9H2,1-5H3",4.39,6.85 ,0.62%
100,PF5OHxA,"2,2,3,3,4,4-hexafluoro-4-(trifluoromethoxy)butanoic acid",C5HF9O3,863090-89-5,12498036,C(=O)(C(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C5HF9O3/c6-2(7,1(15)16)3(8,9)4(10,11)17-5(12,13)14/h(H,15,16)",3.79,6.08 ,0.12%
101,Sulfamethoxydiazine,4-amino-N-(5-methoxypyrimidin-2-yl)benzenesulfonamide,C11H12N4O3S,651-06-9,5326,COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C11H12N4O3S/c1-18-9-6-13-11(14-7-9)15-19(16,17)10-4-2-8(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)",2.54,4.49 ,0.32%
102,Sulfamonomethoxine ,4-amino-N-(6-methoxypyrimidin-4-yl)benzenesulfonamide,C11H12N4O3S,1220-83-3,5332,COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C11H12N4O3S/c1-18-11-6-10(13-7-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,14,15)",2.67,4.66 ,0.30%
103,Sulfamethoxypyridazine ,4-amino-N-(6-methoxypyridazin-3-yl)benzenesulfonamide,C11H12N4O3S,80-35-3,5330,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C11H12N4O3S/c1-18-11-7-6-10(13-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15)",2.90,4.95 ,0.14%
104,Propetamphos ,propan-2-yl (E)-3-[ethylamino(methoxy)phosphinothioyl]oxybut-2-enoate,C10H20NO4PS,31218-83-4,5372405,CCNP(=S)(OC)O/C(=C/C(=O)OC(C)C)/C,"InChI=1S/C10H20NO4PS/c1-6-11-16(17,13-5)15-9(4)7-10(12)14-8(2)3/h7-8H,6H2,1-5H3,(H,11,17)/b9-7+",4.76,7.31 ,0.10%
105,Brevianamide F,"(3S,8aS)-3-(1H-indol-3-ylmethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",C16H17N3O2,38136-70-8,181567,C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43,"InChI=1S/C16H17N3O2/c20-15-14-6-3-7-19(14)16(21)13(18-15)8-10-9-17-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17H,3,6-8H2,(H,18,20)/t13-,14-/m0/s1",3.29,5.45 ,0.39%
106,Fosthiazate ,"3-[butan-2-ylsulfanyl(ethoxy)phosphoryl]-1,3-thiazolidin-2-one",C9H18NO3PS2,98886-44-3,91758,CCC(C)SP(=O)(N1CCSC1=O)OCC,"InChI=1S/C9H18NO3PS2/c1-4-8(3)16-14(12,13-5-2)10-6-7-15-9(10)11/h8H,4-7H2,1-3H3",4.20,6.60 ,0.21%
107,Metolachlor ,2-chloro-N-(2-ethyl-6-methylphenyl)-N-(1-methoxypropan-2-yl)acetamide,C15H22ClNO2,51218-45-2,4169,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,"InChI=1S/C15H22ClNO2/c1-5-13-8-6-7-11(2)15(13)17(14(18)9-16)12(3)10-19-4/h6-8,12H,5,9-10H2,1-4H3",5.02,7.64 ,0.19%
108,Penconazole ,"1-[2-(2,4-dichlorophenyl)pentyl]-1,2,4-triazole",C13H15Cl2N3,66246-88-6,91693,CCCC(CN1C=NC=N1)C2=C(C=C(C=C2)Cl)Cl,"InChI=1S/C13H15Cl2N3/c1-2-3-10(7-18-9-16-8-17-18)12-5-4-11(14)6-13(12)15/h4-6,8-10H,2-3,7H2,1H3",5.11,7.76 ,0.09%
109,Sulfachloropyridazine ,4-amino-N-(6-chloropyridazin-3-yl)benzenesulfonamide,C10H9ClN4O2S, 80-32-0,6634,C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl,"InChI=1S/C10H9ClN4O2S/c11-9-5-6-10(14-13-9)15-18(16,17)8-3-1-7(12)2-4-8/h1-6H,12H2,(H,14,15)",2.82,4.85 ,0.15%
110,Tris(2-chloroethyl) phosphate,tris(2-chloroethyl) phosphate,C6H12Cl3O4P,115-96-8,8295,C(CCl)OP(=O)(OCCCl)OCCCl,"InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2",3.94,6.27 ,0.24%
111,Dibutyl phenyl phosphate,dibutyl phenyl phosphate,C14H23O4P,2528-36-1,17312,CCCCOP(=O)(OCCCC)OC1=CC=CC=C1,"InChI=1S/C14H23O4P/c1-3-5-12-16-19(15,17-13-6-4-2)18-14-10-8-7-9-11-14/h7-11H,3-6,12-13H2,1-2H3",5.21,7.89 ,0.18%
112,"4-Androsten-3,17-dione","(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C19H26O2,63-05-8,6128,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,"InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1",4.76,7.31 ,0.08%
113,Iprobenfos ,di(propan-2-yloxy)phosphorylsulfanylmethylbenzene,C13H21O3PS,26087-47-8,33294,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1,"InChI=1S/C13H21O3PS/c1-11(2)15-17(14,16-12(3)4)18-10-13-8-6-5-7-9-13/h5-9,11-12H,10H2,1-4H3",5.04,7.67 ,0.28%
115,Terbufos ,tert-butylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,C9H21O2PS3,13071-79-9,25670 ,CCOP(=S)(OCC)SCSC(C)(C)C,"InChI=1S/C9H21O2PS3/c1-6-10-12(13,11-7-2)15-8-14-9(3,4)5/h6-8H2,1-5H3",5.51,8.27 ,0.17%
116,Trimethoprim ,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",C14H18N4O3,738-70-5,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",2.46,4.40 ,0.52%
117,Phorate sulfone ,diethoxy-(ethylsulfonylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,C7H17O4PS3,2588-04-7,17425,CCOP(=S)(OCC)SCS(=O)(=O)CC  ,"InChI=1S/C7H17O4PS3/c1-4-10-12(13,11-5-2)14-7-15(8,9)6-3/h4-7H2,1-3H3",4.27,6.69 ,0.11%
118,Triadimefon ,"1-(4-chlorophenoxy)-3,3-dimethyl-1-(1,2,4-triazol-1-yl)butan-2-one",C14H16ClN3O2,43121-43-3,39385,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,"InChI=1S/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3",4.76,7.31 ,0.10%
119,Triadimenol ,"1-(4-chlorophenoxy)-3,3-dimethyl-1-(1,2,4-triazol-1-yl)butan-2-ol",C14H18ClN3O2,55219-65-3,41368,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,"InChI=1S/C14H18ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,12-13,19H,1-3H3",4.85,7.43 ,0.10%
120,36OPFHpA,"2,2-difluoro-2-[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]acetic acid",C5HF9O4,151772-58-6,2782393,C(=O)(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C5HF9O4/c6-2(7,1(15)16)17-3(8,9)4(10,11)18-5(12,13)14/h(H,15,16)",3.98,6.32 ,0.22%
121,Deoxynivalenol,"(1R,2R,3S,7R,9R,10R,12S)-3,10-dihydroxy-2-(hydroxymethyl)-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-4-one",C15H20O6,51481-10-8,40024,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO,"InChI=1S/C15H20O6/c1-7-3-9-14(5-16,11(19)10(7)18)13(2)4-8(17)12(21-9)15(13)6-20-15/h3,8-9,11-12,16-17,19H,4-6H2,1-2H3/t8-,9-,11-,12-,13-,14-,15+/m1/s1",2.46,4.39 ,0.48%
122,Imazalil ,"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole",C14H14Cl2N2O,35554-44-0,37175,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2",4.65,7.17 ,0.10%
123,Quinalphos ,diethoxy-quinoxalin-2-yloxy-sulfanylidene-lambda5-phosphane,C12H15N2O3PS,13593-03-8,26124,CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-12-9-13-10-7-5-6-8-11(10)14-12/h5-9H,3-4H2,1-2H3",5.10,7.75 ,1.40%
124,FBSA,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide",C4H2F9NO2S,30334-69-1,10958205,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F,"InChI=1S/C4H2F9NO2S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H2,14,15,16)",4.31,6.74 ,0.10%
125,Ditalimfos ,"2-diethoxyphosphinothioylisoindole-1,3-dione",C12H14NO4PS,5131-24-8,21207,CCOP(=S)(N1C(=O)C2=CC=CC=C2C1=O)OCC,"InChI=1S/C12H14NO4PS/c1-3-16-18(19,17-4-2)13-11(14)9-7-5-6-8-10(9)12(13)15/h5-8H,3-4H2,1-2H3",4.93,7.53 ,0.38%
126,Codeine,"(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol",C18H21NO3,76-57-3,5284371,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",2.15,4.00 ,0.58%
127,Hydrocodone,"(4R,4aR,7aR,12bS)-9-methoxy-3-methyl-1,2,4,4a,5,6,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",C18H21NO3,125-29-1,5284569,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3,6,11-12,17H,4-5,7-9H2,1-2H3/t11-,12+,17-,18-/m0/s1",2.31,4.20 ,0.00%
128,Perfluorobutanesulfonic acid,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid",C4HF9O3S,375-73-5,67815,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,"InChI=1S/C4HF9O3S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H,14,15,16)",3.69,5.95 ,0.23%
129,Sulfaquinoxaline ,4-amino-N-quinoxalin-2-ylbenzenesulfonamide,C14H12N4O2S,59-40-5,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,"InChI=1S/C14H12N4O2S/c15-10-5-7-11(8-6-10)21(19,20)18-14-9-16-12-3-1-2-4-13(12)17-14/h1-9H,15H2,(H,17,18)",3.43,5.63 ,0.38%
130,Allethrin,"(2-methyl-4-oxo-3-prop-2-enylcyclopent-2-en-1-yl) 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",C19H26O3,584-79-2,11442,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,"InChI=1S/C19H26O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h7,9,14,16-17H,1,8,10H2,2-6H3",5.53,8.29 ,0.17%
131,Pipemidic acid ,"8-ethyl-5-oxo-2-piperazin-1-ylpyrido[2,3-d]pyrimidine-6-carboxylic acid",C14H17N5O3,51940-44-4,4831,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O,"InChI=1S/C14H17N5O3/c1-2-18-8-10(13(21)22)11(20)9-7-16-14(17-12(9)18)19-5-3-15-4-6-19/h7-8,15H,2-6H2,1H3,(H,21,22)",2.34,4.24 ,0.32%
132,Triallate ,"S-(2,3,3-trichloroprop-2-enyl) N,N-di(propan-2-yl)carbamothioate",C10H16Cl3NOS,2303-17-5,5543,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,"InChI=1S/C10H16Cl3NOS/c1-6(2)14(7(3)4)10(15)16-5-8(11)9(12)13/h6-7H,5H2,1-4H3",5.73,8.55 ,0.17%
133,Pirimiphos-methyl ,"4-dimethoxyphosphinothioyloxy-N,N-diethyl-6-methylpyrimidin-2-amine",C11H20N3O3PS,29232-93-7,34526,CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C,"InChI=1S/C11H20N3O3PS/c1-6-14(7-2)11-12-9(3)8-10(13-11)17-18(19,15-4)16-5/h8H,6-7H2,1-5H3",5.26,7.95 ,0.09%
134,Butyl diphenyl phosphate,butyl diphenyl phosphate,C16H19O4P,2752-95-6,17682,CCCCOP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2,"InChI=1S/C16H19O4P/c1-2-3-14-18-21(17,19-15-10-6-4-7-11-15)20-16-12-8-5-9-13-16/h4-13H,2-3,14H2,1H3",5.12,7.77 ,0.18%
135,Tebuconazole ,"1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol",C16H22ClN3O,107534-96-3,86102,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,"InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3",5.09,7.74 ,0.27%
136,Quinoxyfen ,"5,7-dichloro-4-(4-fluorophenoxy)quinoline",C15H8Cl2FNO,124495-18-7,3391107,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F,InChI=1S/C15H8Cl2FNO/c16-9-7-12(17)15-13(8-9)19-6-5-14(15)20-11-3-1-10(18)2-4-11/h1-8H,5.73,8.55 ,0.17%
137,Fensulfothion ,diethoxy-(4-methylsulfinylphenoxy)-sulfanylidene-lambda5-phosphane,C11H17O4PS2,115-90-2,8292,CCOP(=S)(OCC)OC1=CC=C(C=C1)S(=O)C,"InChI=1S/C11H17O4PS2/c1-4-13-16(17,14-5-2)15-10-6-8-11(9-7-10)18(3)12/h6-9H,4-5H2,1-3H3",4.31,6.74 ,0.21%
138,Tripentyl phosphate,tripentyl phosphate,C15H33O4P,2528-38-3,75665,CCCCCOP(=O)(OCCCCC)OCCCCC,"InChI=1S/C15H33O4P/c1-4-7-10-13-17-20(16,18-14-11-8-5-2)19-15-12-9-6-3/h4-15H2,1-3H3",5.82,8.66 ,0.16%
139,Sulfadoxine ,"4-amino-N-(5,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",C12H14N4O4S,2447-57-6,17134,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C12H14N4O4S/c1-19-10-11(14-7-15-12(10)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",2.94,5.00 ,0.39%
140,Sulfadimethoxine ,"4-amino-N-(2,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",C12H14N4O4S,122-11-2,5323,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,"InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",3.32,5.49 ,0.39%
141,Edifenphos ,[ethoxy(phenylsulfanyl)phosphoryl]sulfanylbenzene,C14H15O2PS2,17109-49-8,28292,CCOP(=O)(SC1=CC=CC=C1)SC2=CC=CC=C2,"InChI=1S/C14H15O2PS2/c1-2-16-17(15,18-13-9-5-3-6-10-13)19-14-11-7-4-8-12-14/h3-12H,2H2,1H3",5.09,7.74 ,0.27%
142,Fenamidone ,(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,C17H17N3OS,161326-34-7,10403199,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,"InChI=1S/C17H17N3OS/c1-17(13-9-5-3-6-10-13)15(21)20(16(18-17)22-2)19-14-11-7-4-8-12-14/h3-12,19H,1-2H3/t17-/m0/s1",4.59,7.10 ,0.20%
143,Butachlor,"N-(butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)acetamide",C17H26ClNO2,23184-66-9,31677,CCCCOCN(C1=C(C=CC=C1CC)CC)C(=O)CCl,"InChI=1S/C17H26ClNO2/c1-4-7-11-21-13-19(16(20)12-18)17-14(5-2)9-8-10-15(17)6-3/h8-10H,4-7,11-13H2,1-3H3",5.62,8.41 ,0.30%
144,Pretilachlor ,"2-chloro-N-(2,6-diethylphenyl)-N-(2-propoxyethyl)acetamide",C17H26ClNO2,51218-49-6,91644,CCCOCCN(C1=C(C=CC=C1CC)CC)C(=O)CCl,"InChI=1S/C17H26ClNO2/c1-4-11-21-12-10-19(16(20)13-18)17-14(5-2)8-7-9-15(17)6-3/h7-9H,4-6,10-13H2,1-3H3",5.44,8.18 ,0.17%
145,Aflatoxin B1,"(3S,7R)-11-methoxy-6,8,19-trioxapentacyclo[10.7.0.02,9.03,7.013,17]nonadeca-1,4,9,11,13(17)-pentaene-16,18-dione",C17H12O6,1162-65-8,186907,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,"InChI=1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3/t8-,17+/m0/s1",3.88,6.20 ,0.23%
146,Nivalenol,"(1S,2R,3S,7R,9R,10R,11S,12S)-3,10,11-trihydroxy-2-(hydroxymethyl)-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-4-one",C15H20O7,23282-20-4,5284433,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)O)C)CO,"InChI=1S/C15H20O7/c1-6-3-7-14(4-16,11(20)8(6)17)13(2)10(19)9(18)12(22-7)15(13)5-21-15/h3,7,9-12,16,18-20H,4-5H2,1-2H3/t7-,9-,10-,11-,12-,13-,14-,15+/m1/s1",1.96,3.76 ,0.75%
147,Isoxathion ,"diethoxy-[(5-phenyl-1,2-oxazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane",C13H16NO4PS,18854-01-8,29307,CCOP(=S)(OCC)OC1=NOC(=C1)C2=CC=CC=C2,"InChI=1S/C13H16NO4PS/c1-3-15-19(20,16-4-2)18-13-10-12(17-14-13)11-8-6-5-7-9-11/h5-10H,3-4H2,1-2H3",5.17,7.83 ,0.18%
148,Triazophos ,"diethoxy-[(1-phenyl-1,2,4-triazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane",C12H16N3O3PS,24017-47-8,32184,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2,"InChI=1S/C12H16N3O3PS/c1-3-16-19(20,17-4-2)18-12-13-10-15(14-12)11-8-6-5-7-9-11/h5-10H,3-4H2,1-2H3",4.79,7.35 ,0.19%
149,Kresoxim-methyl ,methyl (2Z)-2-methoxyimino-2-[2-[(2-methylphenoxy)methyl]phenyl]acetate,C18H19NO4,143390-89-0,5483874,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC,"InChI=1S/C18H19NO4/c1-13-8-4-7-11-16(13)23-12-14-9-5-6-10-15(14)17(19-22-3)18(20)21-2/h4-11H,12H2,1-3H3/b19-17-",5.06,7.69 ,0.18%
150,Perfluorohexanoic acid,"2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid",C6HF11O2,307-24-4,67542,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)",4.05,6.41 ,0.30%
151,Aflatoxin B2,"(3S,7R)-11-methoxy-6,8,19-trioxapentacyclo[10.7.0.02,9.03,7.013,17]nonadeca-1,9,11,13(17)-tetraene-16,18-dione",C17H14O6,7220-81-7,2724360,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,"InChI=1S/C17H14O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h6,8,17H,2-5H2,1H3/t8-,17+/m0/s1",3.79,6.08 ,0.27%
152,Sulfaphenazole ,4-amino-N-(2-phenylpyrazol-3-yl)benzenesulfonamide,C15H14N4O2S,526-08-9,5335,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,"InChI=1S/C15H14N4O2S/c16-12-6-8-14(9-7-12)22(20,21)18-15-10-11-17-19(15)13-4-2-1-3-5-13/h1-11,18H,16H2",3.17,5.29 ,0.40%
153,Butifos,1-bis(butylsulfanyl)phosphorylsulfanylbutane,C12H27OPS3,78-48-8,5125,CCCCSP(=O)(SCCCC)SCCCC,"InChI=1S/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3",6.05,8.95 ,0.16%
