NAME,INCHKEY,SMILES,Experimental Retention Time,XGBOOST,RANDOM FOREST,BRNN,LIGHTGBM,KERAS,,XGBOOST,BRNN,RANDOM FOREST,LIGHTGBM,KERAS
6-Aminoindazole,KEJFADGISRFLFO-UHFFFAOYSA-N,C1=CC2=C(C=C1N)NN=C2,1.26,1.51,1.69,3.07,1.40,2.77,,0.25,0.43,1.80,0.13,1.51
6-Hydroxycaproic acid,IWHLYPDWHHPVAA-UHFFFAOYSA-N,C(CCC(=O)O)CCO,1.34,1.99,2.50,3.59,2.06,3.18,,0.65,1.16,2.25,0.72,1.84
6-Hydroxyflavone,GPZYYYGYCRFPBU-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,1.26,1.07,1.24,1.67,1.04,1.26,,0.19,0.02,0.41,0.22,0.00
6-Methyl-5-hepten-2-ol,OHEFFKYYKJVVOX-UHFFFAOYSA-N,CC(CCC=C(C)C)O,7.30,6.71,6.39,3.48,7.14,4.64,,0.59,0.91,3.82,0.16,2.67
6-Methylmercaptopurine,UIJIQXGRFSPYQW-UHFFFAOYSA-N,CSC1=NC=NC2=C1NC=N2,1.49,1.27,1.77,1.97,1.37,1.59,,0.22,0.28,0.48,0.13,0.09
"7,8-Dihydrobiopterin",FEMXZDUTFRTWPE-UHFFFAOYSA-N,CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O,7.18,6.76,6.57,6.90,6.87,7.65,,0.42,0.60,0.27,0.31,0.48
7-Methylguanosine,OGHAROSJZRTIOK-KQYNXXCUSA-O,CN1C=[N+](C2=C1C(=O)N=C(N2)N)C3C(C(C(O3)CO)O)O,7.34,6.59,6.67,6.92,6.52,7.92,,0.75,0.66,0.42,0.82,0.59
8-Oxo-2-deoxyadenosine,NDWAUKFSFFRGLF-YRZWDFBDSA-N,C1C(C(OC1N2C3=C(C(=NC=N3)N)NC2=O)CO)O,5.11,5.29,5.14,5.56,5.12,5.86,,0.18,0.03,0.45,0.02,0.75
Abietic acid,RSWGJHLUYNHPMX-ONCXSQPRSA-N,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,1.11,1.48,1.16,1.96,1.68,1.25,,0.37,0.05,0.85,0.57,0.13
Abscisic acid,JLIDBLDQVAYHNE-LXGGSRJLSA-N,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,1.33,1.42,1.42,1.29,1.37,1.07,,0.09,0.09,0.03,0.04,0.25
Acarbose,XUFXOAAUWZOOIT-UGEKTDRHSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,9.88,8.86,9.08,10.18,8.92,9.94,,1.02,0.80,0.30,0.96,0.06
Acetaminophen glucuronide,IPROLSVTVHAQLE-BYNIDDHOSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,7.73,6.61,6.77,5.71,6.23,7.59,,1.12,0.96,2.01,1.49,0.14
Acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)O,1.37,1.82,1.82,2.03,1.86,2.31,,0.45,0.45,0.65,0.48,0.93
Acetanilide,FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,1.11,1.62,1.76,2.86,1.52,3.32,,0.51,0.66,1.75,0.41,2.21
Acetohydroxamic acid,RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,2.94,2.54,3.12,2.46,2.45,2.38,,0.40,0.18,0.48,0.49,0.56
Actinomycin D,RJURFGZVJUQBHK-IIXSONLDSA-N,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1.03,1.71,2.07,1.29,1.61,1.03,,0.68,1.05,0.26,0.58,0.00
Actrarit,MROJXXOCABQVEF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)CC(=O)O,1.58,2.03,1.81,2.70,2.20,3.19,,0.45,0.23,1.12,0.61,1.61
"Adenosine 3',5'-cyclic monophosphate",IVOMOUWHDPKRLL-KQYNXXCUSA-N,C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,7.62,7.92,7.71,7.73,8.07,7.98,,0.30,0.10,0.12,0.45,0.36
Adenosine 5'-monophosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,8.88,9.11,8.94,8.64,9.00,9.30,,0.23,0.06,0.24,0.11,0.42
Adenosine-3-monophosphate,LNQVTSROQXJCDD-KQYNXXCUSA-N,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)OP(=O)(O)O)O,8.88,8.89,8.84,8.64,8.71,9.49,,0.01,0.03,0.24,0.17,0.62
Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,4.77,4.58,4.63,4.72,4.44,4.22,,0.19,0.13,0.05,0.33,0.55
Adrenosterone,RZRPTBIGEANTGU-IRIMSJTPSA-N,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4=O)C,1.10,1.03,1.15,0.99,1.11,1.34,,0.07,0.05,0.11,0.01,0.24
Ala-Leu,RDIKFPRVLJLMER-UHFFFAOYSA-N,CC(C)CC(C(=O)O)NC(=O)C(C)N,7.60,7.28,7.36,6.35,7.65,6.88,,0.32,0.24,1.25,0.05,0.72
Ala-Val,LIWMQSWFLXEGMA-WDSKDSINSA-N,CC(C(=O)NC(C(C)C)C(=O)O)N,7.66,7.78,7.63,7.03,7.80,7.21,,0.12,0.03,0.63,0.14,0.45
Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(C(=O)O)N,8.05,7.63,7.58,7.57,7.63,7.19,,0.42,0.47,0.48,0.42,0.86
Albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,1.22,1.47,1.31,2.39,1.59,1.74,,0.25,0.09,1.17,0.37,0.52
Albuterol,NDAUXUAQIAJITI-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,5.55,5.32,5.33,4.82,5.26,5.14,,0.23,0.22,0.73,0.29,0.40
Alfuzosin,WNMJYKCGWZFFKR-UHFFFAOYSA-N,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,4.29,3.67,4.03,3.78,3.95,4.34,,0.62,0.25,0.51,0.34,0.05
Allantoic acid,NUCLJNSWZCHRKL-UHFFFAOYSA-N,C(C(=O)O)(NC(=O)N)NC(=O)N,8.56,8.44,8.18,7.02,8.17,8.03,,0.12,0.39,1.54,0.40,0.53
Alosetron,JSWZEAMFRNKZNL-UHFFFAOYSA-N,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,4.19,3.17,3.60,3.21,3.59,3.44,,1.02,0.60,0.98,0.60,0.75
alpha-Galactosamine-1-phosphate,YMJBYRVFGYXULK-VFUOTHLCSA-N,C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O,7.06,8.73,8.09,9.49,8.23,9.70,,1.67,1.03,2.43,1.16,2.64
alpha-Methylene-gamma-butyrolactone,GSLDEZOOOSBFGP-UHFFFAOYSA-N,C=C1CCOC1=O,1.05,1.23,1.80,2.40,1.22,3.99,,0.18,0.75,1.36,0.17,2.95
alpha-Santonin,XJHDMGJURBVLLE-BOCCBSBMSA-N,CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C,1.07,1.03,1.16,1.03,1.11,1.68,,0.04,0.09,0.04,0.04,0.60
Alprazolam,VREFGVBLTWBCJP-UHFFFAOYSA-N,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,1.34,1.33,1.33,1.75,1.22,1.89,,0.01,0.02,0.40,0.13,0.54
Altanserin,SMYALUSCZJXWHG-UHFFFAOYSA-N,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=S,2.64,2.88,2.81,2.41,2.93,3.17,,0.24,0.17,0.23,0.29,0.53
AM 404,IJBZOOZRAXHERC-DOFZRALJSA-N,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC1=CC=C(C=C1)O,0.97,1.11,1.09,1.16,0.99,0.83,,0.14,0.12,0.19,0.02,0.14
AM-251,BUZAJRPLUGXRAB-UHFFFAOYSA-N,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I,0.97,1.08,1.06,1.10,1.18,1.27,,0.11,0.10,0.14,0.21,0.30
Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,C1C2CC3CC1CC(C2)(C3)N,4.88,4.94,4.65,5.10,5.00,4.87,,0.06,0.23,0.22,0.12,0.02
Amiloride,XSDQTOBWRPYKKA-UHFFFAOYSA-N,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,5.52,5.81,5.39,6.25,5.85,5.38,,0.29,0.13,0.73,0.33,0.14
Amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1.87,1.99,2.01,1.52,1.78,2.21,,0.12,0.14,0.34,0.09,0.34
Amisulpride,NTJOBXMMWNYJFB-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,2.76,3.19,3.11,2.65,3.11,2.79,,0.43,0.34,0.11,0.35,0.03
Amlexanox,SGRYPYWGNKJSDL-UHFFFAOYSA-N,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,1.81,1.75,1.77,1.85,1.93,1.91,,0.06,0.03,0.04,0.12,0.10
Amlodipine,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,4.24,3.59,3.81,2.09,3.42,2.85,,0.65,0.43,2.14,0.82,1.39
Amphetamine,KWTSXDURSIMDCE-QMMMGPOBSA-N,CC(CC1=CC=CC=C1)N,4.60,4.82,4.75,4.16,4.74,4.87,,0.22,0.14,0.44,0.14,0.26
Ampiroxicam,LSNWBKACGXCGAJ-UHFFFAOYSA-N,CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3,0.95,1.20,1.24,1.13,1.25,1.45,,0.25,0.29,0.18,0.30,0.50
Anagrelide,OTBXOEAOVRKTNQ-UHFFFAOYSA-N,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,1.82,1.69,1.87,1.99,1.68,2.25,,0.13,0.04,0.17,0.15,0.43
Anastrozole,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,0.98,1.38,1.64,1.30,1.36,0.88,,0.40,0.66,0.32,0.38,0.09
Androstenedione,AEMFNILZOJDQLW-QAGGRKNESA-N,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,1.09,1.12,1.07,1.50,1.02,1.13,,0.03,0.02,0.40,0.08,0.03
Anserine,MYYIAHXIVFADCU-QMMMGPOBSA-N,CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,9.49,9.15,8.77,8.15,9.24,8.55,,0.34,0.71,1.34,0.25,0.93
Arachidonyl dopamine,MVVPIAAVGAWJNQ-DOFZRALJSA-N,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CC(=C(C=C1)O)O,1.14,1.15,1.22,0.88,1.08,0.94,,0.01,0.08,0.26,0.06,0.20
Argatroban,KXNPVXPOPUZYGB-IOVMHBDKSA-N,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,5.45,6.22,5.77,7.49,6.53,5.78,,0.77,0.32,2.05,1.08,0.33
Aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,3.14,2.55,2.87,2.28,2.73,2.76,,0.59,0.26,0.85,0.40,0.38
Asp-Glu,CKAJHWFHHFSCDT-UHFFFAOYSA-N,C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)N,9.47,9.27,9.30,9.35,9.40,9.95,,0.20,0.17,0.11,0.07,0.49
Asp-Phe,YZQCXOFQZKCETR-UWVGGRQHSA-N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N,8.14,8.13,8.04,7.94,8.03,8.41,,0.01,0.10,0.20,0.11,0.27
Atomexetine,VHGCDTVCOLNTBX-QGZVFWFLSA-N,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,2.42,2.29,2.45,2.48,2.30,2.22,,0.13,0.03,0.06,0.12,0.20
Atropine,RKUNBYITZUJHSG-FXUDXRNXSA-N,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,4.32,3.81,3.92,3.49,3.61,4.12,,0.51,0.40,0.83,0.71,0.20
Azasetron,WUKZPHOXUVCQOR-UHFFFAOYSA-N,CN1C(=O)COC2=C1C=C(C=C2C(=O)NC3CN4CCC3CC4)Cl,4.66,4.09,4.33,3.89,3.98,4.53,,0.57,0.33,0.77,0.69,0.13
Balsalazide,KONZVQJABTUMFX-NDENLUEZSA-N,C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O,4.85,4.45,4.52,4.45,4.18,5.19,,0.40,0.33,0.39,0.67,0.34
Beclomethasone,NBMKJKDGKREAPL-DVTGEIKXSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,1.26,1.29,1.36,1.04,1.36,0.55,,0.03,0.11,0.22,0.10,0.70
Benactyzine,IVQOFBKHQCTVQV-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,2.16,2.34,2.35,2.03,2.49,2.31,,0.18,0.19,0.13,0.33,0.16
Benazepril,XPCFTKFZXHTYIP-PMACEKPBSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,1.33,1.97,1.73,2.82,1.66,2.11,,0.64,0.40,1.50,0.34,0.79
Benidipine,QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,CC1=C(C(C(=C(N1)C)C(=O)OC2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,1.46,2.03,2.01,1.38,1.98,2.03,,0.57,0.55,0.08,0.52,0.57
Benproperine,JTUQXGZRVLWBCR-UHFFFAOYSA-N,CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3,1.99,2.15,2.11,1.87,2.39,2.04,,0.16,0.12,0.12,0.40,0.05
Benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)N,1.27,1.22,1.71,2.50,1.69,2.72,,0.05,0.44,1.23,0.42,1.45
Benzothiazole,IOJUPLGTWVMSFF-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=CS2,1.11,1.04,1.55,1.91,0.98,2.54,,0.07,0.44,0.80,0.13,1.43
Benzphetamine,YXKTVDFXDRQTKV-UHFFFAOYSA-N,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,2.04,1.94,2.04,2.75,1.85,2.31,,0.10,0.00,0.71,0.19,0.27
Benzylacetate,QUKGYYKBILRGFE-UHFFFAOYSA-N,CC(=O)OCC1=CC=CC=C1,8.71,6.87,6.68,2.50,6.36,5.45,,1.84,2.03,6.21,2.35,3.26
Bestatin,VGGGPCQERPFHOB-RDBSUJKOSA-N,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O,5.98,5.98,6.14,6.38,6.01,6.87,,0.00,0.16,0.40,0.03,0.89
beta-Alanine,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C(CN)C(=O)O,8.02,7.91,7.39,7.97,8.11,8.10,,0.11,0.63,0.04,0.09,0.08
beta-N-Methylaminoalanine,UJVHVMNGOZXSOZ-VKHMYHEASA-N,CNCC(C(=O)O)N,9.32,8.96,8.98,9.04,9.04,8.64,,0.36,0.35,0.28,0.28,0.68
Betaxolol,NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,3.05,3.46,3.24,2.85,3.57,3.45,,0.42,0.19,0.19,0.52,0.40
Bifemelane,QSQQPMHPCBLLGX-UHFFFAOYSA-N,CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2,2.46,2.59,2.52,2.75,2.48,2.71,,0.13,0.06,0.29,0.02,0.25
Bifonazole,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,1.19,1.21,1.42,2.07,1.15,1.24,,0.02,0.23,0.88,0.04,0.05
Binospirone,BVMYCHKQPGEOSI-UHFFFAOYSA-N,C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3,1.80,2.84,2.62,3.51,2.66,2.41,,1.04,0.82,1.70,0.86,0.61
Bisoprolol,VHYCDWMUTMEGQY-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,3.47,3.44,3.52,3.07,3.69,3.45,,0.03,0.05,0.40,0.22,0.02
Biuret,OHJMTUPIZMNBFR-UHFFFAOYSA-N,C(=O)(N)NC(=O)N,2.73,2.79,3.09,2.64,2.91,3.25,,0.06,0.36,0.08,0.18,0.52
Bromazepam,VMIYHDSEFNYJSL-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,1.30,1.44,1.36,2.04,1.55,1.13,,0.14,0.07,0.74,0.26,0.17
Brucine,RRKTZKIUPZVBMF-IBTVXLQLSA-N,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,4.57,4.12,4.34,3.81,4.22,4.54,,0.45,0.23,0.76,0.35,0.03
Buflomedil,OWYLAEYXIQKAOL-UHFFFAOYSA-N,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,2.34,2.54,2.54,1.92,2.75,2.65,,0.20,0.20,0.42,0.41,0.31
Bupropion,SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,2.22,2.23,2.39,2.34,2.08,1.68,,0.01,0.17,0.12,0.14,0.53
Butanoic acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,10.19,6.82,7.00,4.15,7.08,5.60,,3.37,3.18,6.04,3.10,4.59
Cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,C(CCN)CCN,8.99,8.05,7.77,7.93,8.38,7.98,,0.94,1.22,1.06,0.61,1.01
Caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,C1=CC(=C(C=C1C=CC(=O)O)O)O,1.81,2.35,2.11,2.15,2.86,2.81,,0.54,0.30,0.34,1.05,1.00
Canavanine,FSBIGDSBMBYOPN-VKHMYHEASA-N,C(CON=C(N)N)C(C(=O)[O-])[NH3+],9.42,9.32,9.15,8.21,9.47,9.24,,0.10,0.27,1.21,0.05,0.18
Capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1.00,1.03,1.07,1.40,1.04,1.37,,0.03,0.07,0.40,0.04,0.37
Carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1.21,1.40,1.29,2.06,1.37,1.56,,0.19,0.08,0.85,0.16,0.35
Carbocysteine,GBFLZEXEOZUWRN-VKHMYHEASA-N,C(C(C(=O)O)N)SCC(=O)O,9.04,8.54,8.92,8.39,8.36,8.58,,0.50,0.11,0.65,0.67,0.46
Carnosine,CQOVPNPJLQNMDC-ZETCQYMHSA-N,C1=C(NC=N1)CC(C(=O)[O-])NC(=O)CC[NH3+],9.54,9.68,8.95,8.69,9.69,9.40,,0.14,0.59,0.85,0.15,0.14
Carvedilol,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,3.17,3.34,3.16,2.52,3.46,2.76,,0.17,0.02,0.65,0.29,0.41
Cefaclor,QYIYFLOTGYLRGG-GPCCPHFNSA-N,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,5.61,6.02,5.92,6.62,6.60,5.93,,0.41,0.31,1.01,0.99,0.32
Cefatrizine,UOCJDOLVGGIYIQ-PBFPGSCMSA-N,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,7.98,7.91,7.64,8.38,8.08,8.48,,0.07,0.34,0.40,0.10,0.50
Cefdinir,RTXOFQZKPXMALH-GHXIOONMSA-N,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,6.94,6.93,7.08,6.21,6.95,6.47,,0.01,0.14,0.73,0.01,0.47
Cefixime,OKBVVJOGVLARMR-QSWIMTSFSA-N,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,7.79,7.95,7.86,7.10,7.44,7.98,,0.16,0.07,0.70,0.35,0.19
CefpodoximeÂ proxetil,LTINZAODLRIQIX-OBEQYXGQSA-N,CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CSC(=N3)N)COC,1.12,1.65,1.76,1.92,1.67,0.96,,0.53,0.64,0.80,0.55,0.16
Cerivastatin,SEERZIQQUAZTOL-ANMDKAQQSA-N,CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC,1.18,1.44,1.41,1.69,1.31,1.35,,0.26,0.22,0.50,0.12,0.17
Cetraxate,FHRSHSOEWXUORL-UHFFFAOYSA-N,C1CC(CCC1C[NH3+])C(=O)OC2=CC=C(C=C2)CCC(=O)[O-],5.29,4.69,4.90,4.63,4.80,4.58,,0.60,0.39,0.66,0.49,0.71
CGS 12066B,LXFHSCDLMBZYKY-UHFFFAOYSA-N,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)C(F)(F)F)N4C2=CC=C4,2.21,2.63,2.37,2.37,2.37,2.68,,0.42,0.16,0.16,0.16,0.47
CGS 15943,MSJODEOZODDVGW-UHFFFAOYSA-N,C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N,1.07,1.15,1.17,0.87,1.15,0.84,,0.08,0.11,0.20,0.09,0.23
CHEMBL1616521,ZFMVWAWSKLAVOE-OOGIKFLQSA-N,CC(=C)CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=CC=CC=C7N5,2.93,3.82,3.40,4.35,3.82,3.62,,0.89,0.47,1.43,0.90,0.69
Chlordiazepoxide,BUCORZSTKDOEKQ-UHFFFAOYSA-N,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,1.35,1.87,1.69,2.00,1.41,1.56,,0.52,0.34,0.64,0.06,0.21
Chlorpheniramine,SOYKEARSMXGVTM-UHFFFAOYSA-N,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2.54,2.64,2.56,2.76,2.61,3.08,,0.10,0.02,0.22,0.08,0.54
Cilastatin,DHSUYTOATWAVLW-WFVMDLQDSA-N,CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C,7.63,7.18,7.12,6.52,7.32,7.17,,0.45,0.51,1.11,0.31,0.46
Cinanserin,RSUVYMGADVXGOU-BUHFOSPRSA-N,CN(C)CCCSC1=CC=CC=C1NC(=O)C=CC2=CC=CC=C2,2.61,2.59,2.67,2.19,2.66,2.90,,0.02,0.06,0.42,0.06,0.29
Cinnamaldehyde,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,C1=CC=C(C=C1)C=CC=O,9.18,7.06,7.25,2.61,6.94,6.39,,2.12,1.93,6.57,2.25,2.79
Cisapride,DCSUBABJRXZOMT-UHFFFAOYSA-N,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,2.28,2.62,2.53,2.61,2.62,2.38,,0.34,0.25,0.34,0.34,0.10
Citalopram,WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2.21,2.53,2.39,2.42,2.78,2.52,,0.32,0.18,0.20,0.57,0.31
Citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C(CC(C(=O)O)N)CNC(=O)N,8.74,8.92,8.76,8.57,9.02,8.87,,0.18,0.02,0.18,0.27,0.12
Cladribine,PTOAARAWEBMLNO-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,1.95,2.35,2.52,2.86,2.80,1.51,,0.40,0.57,0.92,0.86,0.44
Clarithromycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,3.00,3.24,3.16,2.07,2.89,2.49,,0.24,0.16,0.93,0.11,0.50
Clobazam,CXOXHMZGEKVPMT-UHFFFAOYSA-N,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,1.10,0.97,1.12,1.05,1.04,1.03,,0.13,0.03,0.04,0.06,0.07
Clobenpropit,UCAIEVHKDLMIFL-UHFFFAOYSA-N,C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,6.13,5.40,5.23,3.89,5.41,5.55,,0.73,0.90,2.24,0.72,0.58
Clofazimine,WDQPAMHFFCXSNU-UHFFFAOYSA-N,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,1.78,1.89,1.91,1.54,1.96,1.79,,0.11,0.13,0.24,0.18,0.01
Clomipramine,GDLIGKIOYRNHDA-UHFFFAOYSA-N,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,2.31,2.26,2.32,2.60,2.14,2.27,,0.05,0.02,0.29,0.16,0.03
